timestamp,actual_value,predicted_value,forecast_error,abs_error,risk_level,recommendation,reason,model_version
2016-04-23 12:40:00,90.0,151.9533462774033,61.95334627740331,61.95334627740331,WARNING,MONITOR_AND_PREPARE_ENERGY_SAVING_ACTION,Predicted appliance energy is 151.95 Wh; warning/high/critical thresholds are 90.00/210.00/400.00 Wh.,linear_regression_v1
2016-04-23 12:50:00,90.0,137.81635440009296,47.81635440009296,47.81635440009296,WARNING,MONITOR_AND_PREPARE_ENERGY_SAVING_ACTION,Predicted appliance energy is 137.82 Wh; warning/high/critical thresholds are 90.00/210.00/400.00 Wh.,linear_regression_v1
2016-04-23 13:00:00,100.0,136.79099302001924,36.79099302001924,36.79099302001924,WARNING,MONITOR_AND_PREPARE_ENERGY_SAVING_ACTION,Predicted appliance energy is 136.79 Wh; warning/high/critical thresholds are 90.00/210.00/400.00 Wh.,linear_regression_v1
2016-04-23 13:10:00,100.0,133.27040821346947,33.270408213469466,33.270408213469466,WARNING,MONITOR_AND_PREPARE_ENERGY_SAVING_ACTION,Predicted appliance energy is 133.27 Wh; warning/high/critical thresholds are 90.00/210.00/400.00 Wh.,linear_regression_v1
2016-04-23 13:20:00,100.0,136.02140484743043,36.02140484743043,36.02140484743043,WARNING,MONITOR_AND_PREPARE_ENERGY_SAVING_ACTION,Predicted appliance energy is 136.02 Wh; warning/high/critical thresholds are 90.00/210.00/400.00 Wh.,linear_regression_v1
2016-04-23 13:30:00,130.0,146.775866193358,16.775866193358013,16.775866193358013,WARNING,MONITOR_AND_PREPARE_ENERGY_SAVING_ACTION,Predicted appliance energy is 146.78 Wh; warning/high/critical thresholds are 90.00/210.00/400.00 Wh.,linear_regression_v1
2016-04-23 13:40:00,260.0,155.83541548344908,-104.16458451655092,104.16458451655092,WARNING,MONITOR_AND_PREPARE_ENERGY_SAVING_ACTION,Predicted appliance energy is 155.84 Wh; warning/high/critical thresholds are 90.00/210.00/400.00 Wh.,linear_regression_v1
2016-04-23 13:50:00,110.0,245.1344596194471,135.1344596194471,135.1344596194471,HIGH,REDUCE_NON_CRITICAL_LOAD_OR_CHECK_HVAC,Predicted appliance energy is 245.13 Wh; warning/high/critical thresholds are 90.00/210.00/400.00 Wh.,linear_regression_v1
2016-04-23 14:00:00,110.0,104.42389011146514,-5.576109888534859,5.576109888534859,WARNING,MONITOR_AND_PREPARE_ENERGY_SAVING_ACTION,Predicted appliance energy is 104.42 Wh; warning/high/critical thresholds are 90.00/210.00/400.00 Wh.,linear_regression_v1
2016-04-23 14:10:00,110.0,132.4509058515201,22.450905851520105,22.450905851520105,WARNING,MONITOR_AND_PREPARE_ENERGY_SAVING_ACTION,Predicted appliance energy is 132.45 Wh; warning/high/critical thresholds are 90.00/210.00/400.00 Wh.,linear_regression_v1
